Area Code;Item Code;Element Code;Year;qty
9;2615;5142;2012;507
9;2616;5142;2012;2
9;2617;5142;2012;561
9;2618;5142;2012;37
9;2619;5142;2012;0
9;2620;5142;2012;40
9;2625;5142;2012;677
9;2630;5142;2012;46
9;2633;5142;2012;40
9;2635;5142;2012;222
9;2640;5142;2012;1
9;2641;5142;2012;3
9;2642;5142;2012;0
9;2645;5142;2012;3
9;2655;5142;2012;1008
9;2656;5142;2012;1645
9;2657;5142;2012;1
9;2658;5142;2012;76
9;2731;5142;2012;2272
9;2732;5142;2012;66
9;2733;5142;2012;367
9;2734;5142;2012;1620
9;2735;5142;2012;42
9;2736;5142;2012;221
9;2740;5142;2012;37
9;2743;5142;2012;4
9;2737;5142;2012;66
9;2781;5521;2012;0
9;2781;5142;2012;0
9;2782;5142;2012;0
9;2744;5142;2012;505
9;2848;5521;2012;343
9;2848;5142;2012;8016
9;2761;5521;2012;0
9;2761;5142;2012;10
9;2762;5521;2012;0
9;2762;5142;2012;108
9;2763;5521;2012;8
9;2763;5142;2012;60
9;2764;5142;2012;0
9;2765;5142;2012;6
9;2766;5142;2012;28
9;2767;5142;2012;30
9;2769;5142;2012;0
9;2775;5142;2012;0
9;2905;5521;2012;4824
9;2905;5142;2012;4862
9;2907;5521;2012;90
9;2907;5142;2012;2006
9;2909;5142;2012;1966
